Timestamp,Event,Department,Year,Rating,Comments
03-12-2024 13:00,Sports Meet,MBA,3rd Year,1,The event started late and ended abruptly.
04/24/2024 15:00:00,Tech Talk,CSE,4th Year,1,"The timing was poor, it clashed with classes."
06/29/2024 16:00:00,Tech Talk,Civil,1st Year,3,Decent experience overall.
02/22/2024 09:00:00,Hackathon,MBA,1st Year,4,"Loved the energy, great speakers and topics."
03/31/2024 10:00:00,Workshop on AI,CSE,2nd Year,5,"Fantastic, would definitely attend again."
02/29/2024 17:00:00,Tech Talk,CSE,2nd Year,4,"Fantastic, would definitely attend again."
06/15/2024 18:00:00,Hackathon,ECE,1st Year,5,"Really enjoyed the session, very informative."
06-03-2024 14:00,Workshop on AI,ECE,1st Year,3,The event was fine but too long.
02-04-2024 11:00,Workshop on AI,CSE,4th Year,3,The event was fine but too long.
01-08-2024 12:00,Hackathon,ECE,4th Year,5,"Really enjoyed the session, very informative."
04/27/2024 18:00:00,Sports Meet,ECE,3rd Year,4,"Really enjoyed the session, very informative."
02/25/2024 13:00:00,Tech Talk,MBA,4th Year,5,"Loved the energy, great speakers and topics."
06/26/2024 17:00:00,Sports Meet,Civil,3rd Year,1,Venue was too crowded and uncomfortable.
04/28/2024 12:00:00,Sports Meet,ECE,2nd Year,2,"Not much value, expected better content."
05/21/2024 14:00:00,Sports Meet,ECE,4th Year,2,"The timing was poor, it clashed with classes."
06/15/2024 16:00:00,Cultural Fest,ME,3rd Year,3,Neither good nor bad.
07-02-2024 12:00,Sports Meet,CSE,4th Year,1,"The timing was poor, it clashed with classes."
06/21/2024 09:00:00,Tech Talk,MBA,4th Year,3,Decent experience overall.
05/25/2024 12:00:00,Hackathon,MBA,4th Year,4,"Everything went smoothly, kudos to the team."
02/20/2024 12:00:00,Sports Meet,MBA,4th Year,3,"Average event, can be improved."
04-07-2024 11:00,Tech Talk,MBA,4th Year,4,"Everything went smoothly, kudos to the team."
05-01-2024 11:00,Cultural Fest,ECE,4th Year,1,"The timing was poor, it clashed with classes."
01/24/2024 09:00:00,Workshop on AI,ME,3rd Year,4,The event was well organized and engaging!
07-08-2024 09:00,Sports Meet,ME,3rd Year,5,"Really enjoyed the session, very informative."
06/20/2024 12:00:00,Hackathon,Civil,1st Year,1,"Not much value, expected better content."
01/29/2024 18:00:00,Tech Talk,ECE,3rd Year,5,"Loved the energy, great speakers and topics."
06-08-2024 15:00,Cultural Fest,ECE,1st Year,4,"Fantastic, would definitely attend again."
04/22/2024 11:00:00,Hackathon,CSE,4th Year,5,"Really enjoyed the session, very informative."
01/19/2024 17:00:00,Cultural Fest,MBA,1st Year,2,"Not much value, expected better content."
04/19/2024 09:00:00,Tech Talk,ECE,3rd Year,1,The event started late and ended abruptly.
03/17/2024 09:00:00,Workshop on AI,MBA,3rd Year,1,The event started late and ended abruptly.
05-10-2024 18:00,Cultural Fest,CSE,4th Year,5,"Really enjoyed the session, very informative."
02/19/2024 16:00:00,Tech Talk,ECE,4th Year,2,"Not much value, expected better content."
04/23/2024 18:00:00,Sports Meet,ME,1st Year,5,"Loved the energy, great speakers and topics."
02-11-2024 09:00,Hackathon,MBA,1st Year,4,The event was well organized and engaging!
02/22/2024 11:00:00,Hackathon,CSE,3rd Year,4,"Loved the energy, great speakers and topics."
06/18/2024 11:00:00,Workshop on AI,ECE,2nd Year,1,Venue was too crowded and uncomfortable.
06/13/2024 18:00:00,Sports Meet,CSE,4th Year,1,The event started late and ended abruptly.
07/17/2024 12:00:00,Workshop on AI,MBA,4th Year,2,Venue was too crowded and uncomfortable.
04-06-2024 10:00,Tech Talk,Civil,1st Year,2,"Not much value, expected better content."
05-04-2024 18:00,Tech Talk,MBA,2nd Year,4,"Everything went smoothly, kudos to the team."
01/14/2024 14:00:00,Tech Talk,ECE,4th Year,2,"Not much value, expected better content."
03/28/2024 18:00:00,Hackathon,Civil,2nd Year,4,The event was well organized and engaging!
02-04-2024 15:00,Workshop on AI,CSE,3rd Year,4,"Really enjoyed the session, very informative."
02-02-2024 16:00,Tech Talk,MBA,3rd Year,2,The event started late and ended abruptly.
05-10-2024 14:00,Tech Talk,CSE,4th Year,5,"Loved the energy, great speakers and topics."
05/29/2024 15:00:00,Tech Talk,MBA,4th Year,5,"Really enjoyed the session, very informative."
03/27/2024 14:00:00,Hackathon,ECE,4th Year,3,Decent experience overall.
01-07-2024 18:00,Workshop on AI,ME,4th Year,2,Sound system was not working properly.
04/20/2024 11:00:00,Tech Talk,CSE,1st Year,3,"Average event, can be improved."
03/15/2024 14:00:00,Tech Talk,CSE,3rd Year,2,"Not much value, expected better content."
02/17/2024 12:00:00,Workshop on AI,CSE,4th Year,2,Sound system was not working properly.
07-10-2024 13:00,Hackathon,ME,4th Year,2,The event started late and ended abruptly.
07-12-2024 15:00,Sports Meet,MBA,2nd Year,2,Venue was too crowded and uncomfortable.
01/17/2024 17:00:00,Workshop on AI,ME,4th Year,4,"Really enjoyed the session, very informative."
05/24/2024 18:00:00,Workshop on AI,ME,2nd Year,2,"The timing was poor, it clashed with classes."
06/14/2024 16:00:00,Sports Meet,CSE,2nd Year,2,"The timing was poor, it clashed with classes."
01/20/2024 16:00:00,Sports Meet,ME,3rd Year,2,The event started late and ended abruptly.
07/15/2024 12:00:00,Cultural Fest,Civil,4th Year,3,"Average event, can be improved."
02-04-2024 17:00,Workshop on AI,Civil,4th Year,5,"Fantastic, would definitely attend again."
05/19/2024 13:00:00,Hackathon,ECE,2nd Year,4,"Loved the energy, great speakers and topics."
01/31/2024 16:00:00,Workshop on AI,CSE,4th Year,5,"Everything went smoothly, kudos to the team."
02/17/2024 18:00:00,Workshop on AI,Civil,4th Year,4,"Really enjoyed the session, very informative."
05-05-2024 13:00,Tech Talk,ECE,1st Year,4,"Fantastic, would definitely attend again."
01/22/2024 12:00:00,Cultural Fest,ME,1st Year,3,"It was okay, nothing special."
04/22/2024 09:00:00,Cultural Fest,CSE,4th Year,5,The event was well organized and engaging!
03-02-2024 12:00,Sports Meet,MBA,4th Year,4,"Fantastic, would definitely attend again."
02-05-2024 10:00,Tech Talk,ME,4th Year,4,"Really enjoyed the session, very informative."
01/13/2024 11:00:00,Sports Meet,MBA,3rd Year,5,"Everything went smoothly, kudos to the team."
04/27/2024 10:00:00,Sports Meet,ME,3rd Year,4,"Really enjoyed the session, very informative."
01-10-2024 18:00,Hackathon,MBA,4th Year,5,"Loved the energy, great speakers and topics."
01/22/2024 09:00:00,Hackathon,Civil,2nd Year,1,"Not much value, expected better content."
07/16/2024 12:00:00,Workshop on AI,ME,3rd Year,3,"Average event, can be improved."
02/28/2024 09:00:00,Cultural Fest,Civil,3rd Year,3,Neither good nor bad.
06/16/2024 11:00:00,Sports Meet,MBA,3rd Year,4,"Loved the energy, great speakers and topics."
05/18/2024 10:00:00,Sports Meet,CSE,1st Year,2,"Not much value, expected better content."
02/22/2024 09:00:00,Hackathon,MBA,1st Year,4,"Really enjoyed the session, very informative."
06/14/2024 11:00:00,Sports Meet,MBA,4th Year,2,Sound system was not working properly.
07-08-2024 09:00,Sports Meet,Civil,1st Year,4,"Everything went smoothly, kudos to the team."
